description,repo,time,type,users
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-04-17T13:44:09Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-04-17T12:09:05Z,PushEvent,hupili
,hupili/datavis.studio,2019-04-17T11:12:27Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-04-17T08:43:45Z,IssueCommentEvent,hupili
https://api.github.com/repos/plotly/dash-oil-and-gas-demo,plotly/dash-oil-and-gas-demo,2019-04-15T10:50:27Z,WatchEvent,hupili
https://api.github.com/repos/GibbsConsulting/jupyter-plotly-dash,GibbsConsulting/jupyter-plotly-dash,2019-04-15T10:40:33Z,WatchEvent,hupili
https://api.github.com/repos/strengthen/LeetCode,strengthen/LeetCode,2019-04-14T06:14:55Z,WatchEvent,hupili
https://api.github.com/repos/hupili/rfc.bib,hupili/rfc.bib,2019-04-12T06:36:03Z,PushEvent,hupili
,hupili/rfc.bib,2019-04-12T06:36:02Z,PullRequestEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-04-08T00:41:44Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-04-05T07:48:55Z,PushEvent,hupili
https://api.github.com/repos/hupili/geohk,hupili/geohk,2019-04-05T07:35:47Z,WatchEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-04-05T07:23:36Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-04-04T14:57:22Z,PushEvent,hupili
,hupili/datavis.studio,2019-04-04T01:30:06Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-04-02T07:44:11Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-04-02T00:14:46Z,IssueCommentEvent,hupili
,hupili/datavis.studio,2019-04-01T08:56:58Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-29T15:12:38Z,PushEvent,hupili
,hupili/datavis.studio,2019-03-29T15:12:37Z,PullRequestEvent,hupili
https://api.github.com/repos/formulahendry/955.WLB,formulahendry/955.WLB,2019-03-29T13:47:20Z,WatchEvent,hupili
https://api.github.com/repos/996icu/996.ICU,996icu/996.ICU,2019-03-29T13:45:38Z,WatchEvent,hupili
,hupili/datavis.studio,2019-03-22T15:25:05Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-22T15:23:31Z,PushEvent,hupili
,hupili/datavis.studio,2019-03-22T15:23:30Z,PullRequestEvent,hupili
,hupili/datavis.studio,2019-03-22T05:59:14Z,IssueCommentEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-20T10:59:14Z,PushEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-20T10:08:27Z,PushEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-20T10:06:54Z,PushEvent,hupili
opened,hupili/python-for-data-and-media-communication-gitbook,2019-03-20T10:06:44Z,IssuesEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-20T09:52:26Z,PushEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-20T09:24:53Z,CreateEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-20T09:24:40Z,PushEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-15T08:05:05Z,PushEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-03-15T08:05:02Z,PullRequestEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-15T07:38:48Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-15T07:32:11Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-15T06:27:25Z,PushEvent,hupili
https://api.github.com/repos/hupili/python-for-data-and-media-communication-gitbook,hupili/python-for-data-and-media-communication-gitbook,2019-03-14T05:35:15Z,PushEvent,hupili
,hupili/python-for-data-and-media-communication-gitbook,2019-03-14T05:35:13Z,PullRequestEvent,hupili
https://api.github.com/repos/v2ray/v2ray-core,v2ray/v2ray-core,2019-03-13T09:51:51Z,WatchEvent,hupili
closed,hupili/datavis.studio,2019-03-11T03:25:44Z,IssuesEvent,hupili
closed,hupili/datavis.studio,2019-03-11T03:24:18Z,IssuesEvent,hupili
reopened,hupili/datavis.studio,2019-03-11T03:23:51Z,IssuesEvent,hupili
closed,hupili/datavis.studio,2019-03-11T03:23:39Z,IssuesEvent,hupili
closed,hupili/datavis.studio,2019-03-11T03:23:13Z,IssuesEvent,hupili
closed,hupili/datavis.studio,2019-03-11T03:21:56Z,IssuesEvent,hupili
,hupili/datavis.studio,2019-03-11T03:21:55Z,IssueCommentEvent,hupili
closed,hupili/datavis.studio,2019-03-11T03:10:47Z,IssuesEvent,hupili
,hupili/datavis.studio,2019-03-11T03:10:47Z,IssueCommentEvent,hupili
https://api.github.com/repos/msokk/electron-render-service,msokk/electron-render-service,2019-03-09T13:17:33Z,WatchEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-09T02:29:33Z,PushEvent,hupili
https://api.github.com/repos/hupili/datavis.studio,hupili/datavis.studio,2019-03-09T02:24:04Z,PushEvent,hupili
